"","V1","V2"
"607","ENSG00000046647.9","GEMIN8"
"608","ENSG00000046651.10","OFD1"
"609","ENSG00000046653.10","GPM6B"
"610","ENSG00000046774.9","MAGEC2"
"611","ENSG00000046889.14","PREX2"
"612","ENSG00000047056.10","WDR37"
"613","ENSG00000047188.11","YTHDC2"
"614","ENSG00000047230.10","CTPS2"
"615","ENSG00000047249.12","ATP6V1H"
"616","ENSG00000047315.10","POLR2B"
"617","ENSG00000047346.8","FAM214A"
"618","ENSG00000047365.7","ARAP2"
"619","ENSG00000047410.9","TPR"
"620","ENSG00000047457.9","CP"
"621","ENSG00000047578.8","KIAA0556"
"622","ENSG00000047579.15","DTNBP1"
"623","ENSG00000047597.5","XK"
"624","ENSG00000047617.10","ANO2"
"625","ENSG00000047621.7","C12orf4"
"626","ENSG00000047634.10","SCML1"
"627","ENSG00000047644.13","WWC3"
"628","ENSG00000047648.17","ARHGAP6"
"629","ENSG00000047662.4","FAM184B"
"630","ENSG00000047849.17","MAP4"
"631","ENSG00000047932.9","GOPC"
"632","ENSG00000047936.6","ROS1"
"633","ENSG00000048028.7","USP28"
"634","ENSG00000048052.17","HDAC9"
"635","ENSG00000048140.13","TSPAN17"
"636","ENSG00000048162.15","NOP16"
"637","ENSG00000048342.11","CC2D2A"
"638","ENSG00000048392.7","RRM2B"
"639","ENSG00000048405.5","ZNF800"
"640","ENSG00000048462.6","TNFRSF17"
"641","ENSG00000048471.9","SNX29"
"642","ENSG00000048540.10","LMO3"
"643","ENSG00000048544.5","MRPS10"
"644","ENSG00000048545.9","GUCA1A"
"645","ENSG00000048649.9","RSF1"
"646","ENSG00000048707.9","VPS13D"
"647","ENSG00000048740.13","CELF2"
"648","ENSG00000048828.12","FAM120A"
"649","ENSG00000048991.12","R3HDM1"
"650","ENSG00000049089.9","COL9A2"
"651","ENSG00000049130.9","KITLG"
"652","ENSG00000049167.9","ERCC8"
"653","ENSG00000049192.10","ADAMTS6"
"654","ENSG00000049239.8","H6PD"
"655","ENSG00000049245.8","VAMP3"
"656","ENSG00000049246.10","PER3"
"657","ENSG00000049247.9","UTS2"
"658","ENSG00000049249.4","TNFRSF9"
"659","ENSG00000049283.13","EPN3"
"660","ENSG00000049323.11","LTBP1"
"661","ENSG00000049449.4","RCN1"
"662","ENSG00000049540.12","ELN"
"663","ENSG00000049541.6","RFC2"
"664","ENSG00000049618.17","ARID1B"
"665","ENSG00000049656.9","CLPTM1L"
"666","ENSG00000049759.12","NEDD4L"
"667","ENSG00000049768.10","FOXP3"
"668","ENSG00000049769.8","PPP1R3F"
"669","ENSG00000049860.9","HEXB"
"670","ENSG00000049883.10","PTCD2"
